1534074740
xxxxxxxxxx	1531750717	1531923911	1532099624	1532272812	1532445771	1532619981	1532794902	1532974310	1533218319	1533392491	1533568811	1533742522	1534000888
9YQUQ928	1<>0<>1400	1<>1<>1680	1<>0<>1400	1<>1<>1400	1<>1<>1120	1<>0<>1400	1<>1<>1400	1<>0<>1120	1<>0<>1400	1<>0<>1120	XXXXXXXX	1<>0<>1400	1<>1<>1120
9PG8QRGV	1<>0<>1400	1<>1<>840	1<>1<>1120	1<>0<>1120	1<>0<>1120	1<>1<>1680	XXXXXXXX	1<>1<>840	1<>0<>1400	1<>0<>1400	1<>1<>840	1<>0<>1680	1<>0<>1400
8RJ2ULJQV	1<>0<>1120	1<>0<>1120	1<>1<>1680	1<>0<>1120	1<>1<>1400	1<>1<>1400	1<>1<>1120	1<>0<>840	1<>1<>1680	1<>0<>1680	1<>1<>1120	1<>1<>1120	1<>0<>1680
9CUYJJ8G	1<>0<>1120	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	1<>0<>1120	XXXXXXXX	XXXXXXXX	1<>0<>1400	XXXXXXXX	XXXXXXXX	XXXXXXXX
UCL20R22	1<>0<>786	1<>1<>1400	1<>1<>1120	1<>1<>840	1<>1<>1400	1<>0<>1120	1<>0<>1120	1<>1<>1120	XXXXXXXX	1<>0<>1120	1<>0<>1400	1<>0<>840	XXXXXXXX
2PPQJ2VCJ	0<>0<>1120	1<>1<>1400	0<>0<>1400	1<>0<>1400	1<>0<>1400	1<>1<>1680	1<>0<>1120	1<>0<>1120	1<>0<>1400	1<>1<>1400	0<>0<>1400	0<>0<>1400	1<>0<>840
8GC8908Y	NNNNNNNN	1<>0<>1680	1<>0<>1120	1<>1<>1400	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX
2CPRCURQJ	NNNNNNNN	1<>0<>1120	0<>0<>1120	1<>1<>1120	1<>1<>1400	1<>1<>1120	1<>0<>1120	1<>1<>840	1<>1<>1120	2<>0<>1680	1<>1<>1120	1<>0<>1120	XXXXXXXX
8ULGR0V0G	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>1<>1400	1<>1<>1680	1<>0<>1120	1<>1<>1120	1<>1<>1400	1<>0<>1400	XXXXXXXX	1<>0<>1120	1<>0<>1400
LQ90RU8Q	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>1<>1400	1<>1<>840	1<>1<>1400	1<>0<>1400	1<>1<>1400	1<>1<>840	1<>0<>1120	XXXXXXXX	XXXXXXXX
2L98RYC2J	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>0<>1400	1<>0<>1400	1<>1<>840	1<>0<>1400	1<>1<>1120	1<>1<>1120	1<>0<>1400	1<>0<>840	1<>0<>1680
8CRUR2RVP	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>1<>1120	1<>0<>1400	1<>1<>1680	1<>1<>1400	1<>0<>1400	1<>1<>1400	1<>0<>1120	1<>0<>1400
PLRCYC8Y	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>1<>1120	1<>0<>1120	1<>1<>1680	1<>0<>1120	1<>0<>1120	2<>1<>1400	1<>0<>1400	1<>1<>1400
890RP02CQ	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>1<>840	1<>0<>1400	1<>0<>1120	1<>0<>1680	1<>1<>1120	1<>0<>1400	1<>0<>1120	1<>1<>1120
