1535275788
xxxxxxxxxx	1531750717	1531923911	1532099624	1532272812	1532445771	1532619981	1532794902	1532974310	1533218319	1533392491	1533568811	1533742522	1534000888	1534180280	1534356773	1534602626	1534781300	1534956407	1535131318
2PPQJ2VCJ	0<>0<>1120	1<>1<>1400	0<>0<>1400	1<>0<>1400	1<>0<>1400	1<>1<>1680	1<>0<>1120	1<>0<>1120	1<>0<>1400	1<>1<>1400	0<>0<>1400	0<>0<>1400	1<>0<>840	XXXXXXXX	XXXXXXXX	0<>0<>840	XXXXXXXX	1<>0<>1400	1<>1<>1400
8GC8908Y	NNNNNNNN	1<>0<>1680	1<>0<>1120	1<>1<>1400	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX
2CPRCURQJ	NNNNNNNN	1<>0<>1120	0<>0<>1120	1<>1<>1120	1<>1<>1400	1<>1<>1120	1<>0<>1120	1<>1<>840	1<>1<>1120	2<>0<>1680	1<>1<>1120	1<>0<>1120	XXXXXXXX	1<>0<>1400	1<>0<>840	1<>1<>1120	1<>0<>840	1<>1<>1120	1<>0<>840
8ULGR0V0G	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>1<>1400	1<>1<>1680	1<>0<>1120	1<>1<>1120	1<>1<>1400	1<>0<>1400	XXXXXXXX	1<>0<>1120	1<>0<>1400	1<>1<>560	1<>1<>1120	1<>0<>1400	1<>1<>1400	1<>0<>1400	1<>1<>1120
LQ90RU8Q	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>1<>1400	1<>1<>840	1<>1<>1400	1<>0<>1400	1<>1<>1400	1<>1<>840	1<>0<>1120	XXXXXXXX	XXXXXXXX	1<>1<>1400	1<>0<>1400	2<>1<>1120	1<>1<>1680	1<>0<>1120	1<>0<>1120
2L98RYC2J	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>0<>1400	1<>0<>1400	1<>1<>840	1<>0<>1400	1<>1<>1120	1<>1<>1120	1<>0<>1400	1<>0<>840	1<>0<>1680	1<>1<>1120	1<>0<>1680	XXXXXXXX	1<>1<>1400	1<>0<>280	1<>1<>1120
8CRUR2RVP	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>1<>1120	1<>0<>1400	1<>1<>1680	1<>1<>1400	1<>0<>1400	1<>1<>1400	1<>0<>1120	1<>0<>1400	1<>0<>1400	2<>1<>1120	1<>1<>1400	1<>1<>1120	1<>1<>1120	1<>1<>1120
PLRCYC8Y	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>1<>1120	1<>0<>1120	1<>1<>1680	1<>0<>1120	1<>0<>1120	2<>1<>1400	1<>0<>1400	1<>1<>1400	1<>1<>1120	1<>0<>1120	1<>1<>1120	1<>1<>1680	1<>1<>1120	1<>0<>1400
890RP02CQ	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>1<>840	1<>0<>1400	1<>0<>1120	1<>0<>1680	1<>1<>1120	1<>0<>1400	1<>0<>1120	1<>1<>1120	1<>1<>1680	1<>0<>1120	2<>0<>840	2<>1<>1400	1<>0<>840	1<>0<>1120
28UVQQLCU	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>0<>1400	XXXXXXXX	1<>0<>1400	1<>1<>1400	1<>1<>1400	1<>0<>840	1<>0<>1120	1<>1<>1400	XXXXXXXX	XXXXXXXX	2<>0<>840	XXXXXXXX	1<>0<>1400
PCL2QYP2	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>0<>1120	XXXXXXXX	XXXXXXXX	2<>1<>1680	XXXXXXXX	XXXXXXXX	XXXXXXXX	XXXXXXXX	1<>0<>1400	1<>1<>1400	XXXXXXXX	1<>1<>1120	1<>0<>840
8UVYU088U	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>0<>1400	1<>1<>1120	1<>1<>840	1<>0<>1680	1<>1<>1400	1<>0<>1400	1<>1<>1120	2<>0<>1400	1<>0<>1400	1<>0<>1400	2<>2<>840	1<>1<>840
UY0UJLQ9	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	2<>0<>1120	1<>1<>1120	1<>0<>1680	1<>0<>1400	1<>0<>1400	1<>1<>1120	1<>1<>1120
8VQ0UR9LR	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>1<>1120	2<>2<>1400	1<>1<>1400	1<>1<>1400	1<>1<>1120	1<>0<>1120	1<>0<>1120
YC8R8JGY	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>1<>1120	1<>1<>840	2<>1<>1400	1<>1<>1120
80UUCGG8Y	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>0<>1120	1<>0<>840	1<>0<>1120	1<>1<>1120
8R00Y2820	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>1<>1680	1<>1<>1120	1<>0<>840
8Q0C9YYL9	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>1<>1400
8YCUR29P	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>1<>1120
29PQRLQ9J	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	NNNNNNNN	1<>0<>1120
